FINESS_Etab;Nom_court;Code_postal;Commune;Public_ou_prive;Lat;Long
240000513;CENTRE HOSPITALIER DE SAINT-ASTIER;24110;ST ASTIER;Public;45.147098;0.521521
240000521;CHIC RDD SMR DE SAINT AULAYE;24410;ST AULAYE PUYMANGOU;Public;45.204402;0.141507
240000687;CENTRE HOSPITALIER SARLAT;24206;SARLAT LA CANEDA;Public;44.899480;1.223000
240003392;HOPITAL DE JOUR ENFANTS LES NYMPHEAS;24000;PERIGUEUX;Public;45.194871;0.726909
240004994;CENTRE DE PLANIFICATION;24000;PERIGUEUX;Public;45.193579;0.728594
250000023;CHU BESANCON SITE SAINT-JACQUES;25030;BESANCON;Public;47.251938;6.001699
250000114;CH BOULLOCHE HNFC MONTBELIARD;25209;MONTBELIARD;Public;47.508197;6.794689
250000619;UNITE PSY ADULTE LE GRANDVALLIER CHIHC;25304;PONTARLIER;Public;46.907494;6.374948
250000627;CH PAUL NAPPEZ MORTEAU;25503;MORTEAU;Public;47.060613;6.602188
250000635;CH SAINTE CROIX BAUME LES DAMES;25114;BAUME LES DAMES;Public;47.349374;6.361718
250000700;CHI HC SITE RIVES DU DOUBS PONTARLIER;25304;PONTARLIER;Public;46.907494;6.374948
250000726;CH SAINT LOUIS ORNANS;25290;ORNANS;Public;47.107382;6.143759
250000734;CHI HAUTE COMTE SITE R SALINS MOUTHE;25240;MOUTHE;Public;46.711538;6.191826
250000759;CENTRE DE SOINS TILLEROYES;25030;BESANCON;Public;47.234643;5.961887
250000882;ETABLISSEMENT DE SANTE DE QUINGEY;25440;QUINGEY;Public;47.101346;5.885922
250004009;LE MITTAN ANNEXE DU HNFC;25209;MONTBELIARD;Public;47.508197;6.794689
250006954;CHU JEAN MINJOZ BESANCON;25030;BESANCON;Public;47.225040;5.962193
250009123;PSYCHIATRIE ADULTE CHI HTE COMTE;25500;MORTEAU;Public;47.058199;6.606195
250019437;UCSA PENITENTIAIRE;25000;BESANCON;Public;47.236535;6.007063
260000013;CH DE VALENCE;26953;VALENCE;Public;46.672235;3.865379
260000120;HOPITAUX DROME NORD - ROMANS-SUR-ISERE;26102;ROMANS SUR ISERE;Public;45.041350;5.018863
260000138;CH PORTES PROVENCE MONTELIMAR;26216;MONTELIMAR;Public;44.553424;4.745639
260000146;CH DE CREST;26400;CREST;Public;44.726499;5.004745
260000195;CLINIQUE PNEUMOLOGIE LES RIEUX;26110;NYONS;ESPIC;44.358128;5.150475
260000203;HOPITAUX DROME NORD - SAINT-VALLIER;26241;ST VALLIER;Public;45.171025;4.821935
260000229;CH PORTES PROVENCE DIEULEFIT;26220;DIEULEFIT;Public;44.526585;5.065124
260000237;CH DE NYONS;26110;NYONS;Public;44.359644;5.137021
260000278;CH DE BUIS LES BARONNIES;26170;BUIS LES BARONNIES;Public;44.279539;5.268117
260000286;CH DU DIOIS;26150;DIE;Public;44.755969;5.371186
260020078;SERVICE NEUROCHIRURGIE - CHU42;26953;VALENCE;Public;44.920925;4.922970
